month,r_cash,r_bond,r_equity,r_alt
2002-02,,0.007530153340222556,,
2002-03,,0.011089248468657997,,
2002-04,,0.014487857827794715,,
2002-05,,0.01160939537677752,,
2002-06,,-0.006735060734121556,,
2002-07,,-0.007409140614181298,,
2002-08,,-0.008852844196292287,,
2002-09,,0.003228731242585825,,
2002-10,,-0.0051855335322783525,,
2002-11,,0.0016827271462795945,,
2002-12,,0.00577477877266297,,
2003-01,,0.0034138853220309073,,
2003-02,,0.0037640502412186194,,
2003-03,,0.00431549302255152,,
2003-04,,0.0045479708319016154,,
2003-05,,0.0027344807764480006,,
2003-06,,-0.0023015777509728386,,
2003-07,,0.004670758091200433,,
2003-08,,-3.7812472821752152e-06,,
2003-09,,-0.00787353192519158,,
2003-10,,-0.005900798365727544,,
2003-11,,-0.0008070344264400342,,
2003-12,,0.010469225426960937,,
2004-01,,-0.00411525368379273,,
2004-02,,0.005869046949515955,,
2004-03,,-0.0031870131347018216,,
2004-04,,-0.013329758702941508,,
2004-05,,0.003086229423531206,,
2004-06,,-0.0009759480672673071,,
2004-07,,0.005975829380696407,,-0.016011995262245858
2004-08,,0.0012004916663319598,,0.03151178438216337
2004-09,,-0.0011618204973010693,,0.008395097187506417
2004-10,,0.0022862014552551546,,0.017516201899773633
2004-11,,-0.00019930025584813382,,0.051582926129511764
2004-12,,0.009088567994963936,,-0.015593268602862052
2005-01,,0.005563384874512023,-0.04512000000000005,-0.02966883118545257
2005-02,,0.008603454353190099,0.0891316186327078,0.04007700370195577
2005-03,,0.008077142441762941,-0.09402975028606042,-0.0030927822724676306
2005-04,,0.010535317256712862,-0.010401188707280906,0.0014493888826844319
2005-05,,0.005371922374257876,-0.08199270699270689,-0.01992748021888718
2005-06,,0.009963938731331279,0.02656697236988137,0.03143291960499614
2005-07,,0.008634911024557823,0.01120986923715983,-0.017970684068504803
2005-08,0.0020951810835079243,0.0020366289503230828,0.05729623877371881,0.007664221213537626
2005-09,0.0010951812027080177,0.006138474937532168,-0.011357709297993623,0.05480843577382445
2005-10,0.0020885131775236765,0.004201431250958176,-0.04808458407803784,0.0045142089331061674
2005-11,0.0,-0.005090854548903678,-0.005655340903949702,0.03224677138331132
